date	ouv	haut	bas	clot	vol	devise	
31/10/2022 09:05	310.85	310.85	310.85	310.85	0	EUR	
31/10/2022 09:05	310.85	310.85	310.85	310.85	10	EUR	
31/10/2022 10:16	310.45	310.45	310.45	310.45	202	EUR	
31/10/2022 11:20	311.1	311.1	311.1	311.1	1	EUR	
31/10/2022 12:37	311	311	311	311	1	EUR	
31/10/2022 15:21	311.8	311.8	311.8	311.8	1	EUR	
31/10/2022 16:57	311.85	311.85	311.85	311.85	2	EUR	
31/10/2022 17:35	311.1	311.1	311.1	311.1	0	EUR	
01/11/2022 09:05	315.4	315.4	315.4	315.4	4	EUR	
01/11/2022 13:28	315.6	315.6	315.6	315.6	5	EUR	
01/11/2022 17:35	313.9	313.9	313.9	313.9	0	EUR	
02/11/2022 09:05	315.9	315.9	315.9	315.9	8	EUR	
02/11/2022 13:36	313.2	313.2	313.2	313.2	1	EUR	
02/11/2022 17:35	311.4	311.4	311.4	311.4	0	EUR	
03/11/2022 09:05	308.75	308.75	308.75	308.75	0	EUR	
03/11/2022 11:52	308.7	308.7	308.7	308.7	63	EUR	
03/11/2022 13:35	308.5	308.5	308.5	308.5	1	EUR	
03/11/2022 17:35	309.9	309.9	309.9	309.9	0	EUR	
04/11/2022 09:05	312.7	312.7	312.7	312.7	0	EUR	
04/11/2022 12:35	316.15	316.15	316.15	316.15	10	EUR	
04/11/2022 14:38	318.55	318.55	318.55	318.55	1	EUR	
04/11/2022 15:17	319.35	319.35	319.35	319.35	1	EUR	
04/11/2022 15:31	320	320	320	320	2	EUR	
04/11/2022 15:53	320.35	320.35	320.35	320.35	62	EUR	
04/11/2022 16:26	319.4	319.4	319.4	319.4	404	EUR	
04/11/2022 16:28	319.4	319.4	319.4	319.4	212	EUR	
04/11/2022 16:29	319.4	319.4	319.4	319.4	146	EUR	
04/11/2022 16:30	319.4	319.4	319.4	319.4	46	EUR	
04/11/2022 16:31	318.9	318.95	318.9	318.95	317	EUR	
