date	ouv	haut	bas	clot	vol	devise	
31/10/2022 09:05	61.61	61.61	61.56	61.56	0	EUR	
31/10/2022 09:05	61.61	61.61	61.56	61.56	975	EUR	
31/10/2022 09:06	61.55	61.55	61.54	61.54	11	EUR	
31/10/2022 09:07	61.5	61.5	61.45	61.45	39	EUR	
31/10/2022 09:08	61.54	61.54	61.54	61.54	1	EUR	
31/10/2022 09:09	61.51	61.51	61.51	61.51	2	EUR	
31/10/2022 09:10	61.44	61.51	61.44	61.51	101	EUR	
31/10/2022 09:14	61.6	61.61	61.6	61.61	510	EUR	
31/10/2022 09:23	61.63	61.63	61.63	61.63	10	EUR	
31/10/2022 09:30	61.55	61.55	61.55	61.55	4	EUR	
31/10/2022 09:36	61.45	61.45	61.45	61.45	30	EUR	
31/10/2022 09:38	61.46	61.46	61.46	61.46	3	EUR	
31/10/2022 09:42	61.48	61.48	61.48	61.48	3	EUR	
31/10/2022 09:50	61.46	61.46	61.46	61.46	120	EUR	
31/10/2022 09:52	61.46	61.46	61.46	61.46	2	EUR	
31/10/2022 10:13	61.52	61.52	61.52	61.52	2	EUR	
31/10/2022 10:17	61.53	61.53	61.53	61.53	60	EUR	
31/10/2022 10:47	61.6	61.6	61.6	61.6	1	EUR	
31/10/2022 11:01	61.55	61.55	61.55	61.55	10	EUR	
31/10/2022 11:10	61.63	61.63	61.63	61.63	40	EUR	
31/10/2022 11:29	61.64	61.64	61.64	61.64	40	EUR	
31/10/2022 11:32	61.63	61.63	61.63	61.63	8	EUR	
31/10/2022 11:50	61.62	61.62	61.62	61.62	4	EUR	
31/10/2022 11:54	61.6	61.6	61.6	61.6	9	EUR	
31/10/2022 12:00	61.7	61.72	61.7	61.72	593	EUR	
31/10/2022 12:06	61.67	61.67	61.67	61.67	180	EUR	
31/10/2022 12:07	61.65	61.65	61.65	61.65	3	EUR	
31/10/2022 12:09	61.69	61.69	61.69	61.69	2	EUR	
31/10/2022 12:13	61.68	61.68	61.68	61.68	20	EUR	
31/10/2022 12:25	61.66	61.66	61.66	61.66	2	EUR	
31/10/2022 12:26	61.65	61.65	61.65	61.65	15	EUR	
31/10/2022 12:42	61.62	61.62	61.59	61.59	152	EUR	
31/10/2022 13:12	61.56	61.56	61.56	61.56	121	EUR	
31/10/2022 13:25	61.56	61.57	61.56	61.57	7	EUR	
31/10/2022 13:56	61.56	61.57	61.56	61.57	102	EUR	
31/10/2022 14:12	61.65	61.65	61.65	61.65	28	EUR	
31/10/2022 14:15	61.63	61.63	61.63	61.63	15	EUR	
31/10/2022 14:34	61.67	61.67	61.67	61.67	1	EUR	
31/10/2022 14:38	61.7	61.7	61.7	61.7	16	EUR	
31/10/2022 14:42	61.72	61.72	61.72	61.72	576	EUR	
31/10/2022 14:43	61.65	61.65	61.65	61.65	48	EUR	
31/10/2022 14:49	61.62	61.62	61.62	61.62	20	EUR	
31/10/2022 15:04	61.72	61.72	61.72	61.72	200	EUR	
31/10/2022 15:14	61.75	61.75	61.75	61.75	2200	EUR	
31/10/2022 15:32	61.63	61.63	61.63	61.63	2	EUR	
31/10/2022 15:36	61.67	61.67	61.67	61.67	45	EUR	
31/10/2022 15:39	61.73	61.73	61.73	61.73	2	EUR	
31/10/2022 15:43	61.74	61.74	61.74	61.74	15	EUR	
31/10/2022 15:57	61.77	61.77	61.77	61.77	2	EUR	
31/10/2022 16:08	61.84	61.84	61.84	61.84	25	EUR	
