date	ouv	haut	bas	clot	vol	devise	
31/10/2022 09:05	123.766	123.846	123.766	123.846	0	EUR	
31/10/2022 09:05	123.766	123.846	123.766	123.846	353	EUR	
31/10/2022 09:46	123.348	123.348	123.348	123.348	2	EUR	
31/10/2022 10:04	123.196	123.196	123.196	123.196	4	EUR	
31/10/2022 10:11	123.042	123.044	123.042	123.044	19	EUR	
31/10/2022 10:19	123.043	123.043	123.043	123.043	1	EUR	
31/10/2022 10:26	122.879	122.879	122.879	122.879	3	EUR	
31/10/2022 10:32	123.132	123.132	123.132	123.132	63	EUR	
31/10/2022 10:45	122.964	122.964	122.964	122.964	1	EUR	
31/10/2022 10:49	123.188	123.188	123.188	123.188	1	EUR	
31/10/2022 11:22	123.041	123.041	123.041	123.041	9	EUR	
31/10/2022 11:39	122.9	122.9	122.9	122.9	1	EUR	
31/10/2022 11:53	122.886	122.886	122.886	122.886	1	EUR	
31/10/2022 12:14	123.19	123.19	123.19	123.19	15	EUR	
31/10/2022 12:17	123.079	123.079	123.079	123.079	1	EUR	
31/10/2022 12:22	123.028	123.028	123.028	123.028	13	EUR	
31/10/2022 12:38	123.11	123.11	123.11	123.11	3	EUR	
31/10/2022 14:43	123.932	123.932	123.932	123.932	1	EUR	
31/10/2022 14:47	123.939	124	123.939	124	261	EUR	
31/10/2022 15:03	124.029	124.029	124.029	124.029	17	EUR	
31/10/2022 15:09	124.111	124.111	124.111	124.111	11	EUR	
31/10/2022 15:52	124.023	124.023	124.023	124.023	5	EUR	
31/10/2022 15:56	123.906	123.906	123.906	123.906	814	EUR	
31/10/2022 16:14	124.35	124.35	124.35	124.35	1	EUR	
31/10/2022 16:30	124.601	124.601	124.601	124.601	9	EUR	
31/10/2022 17:12	124.451	124.451	124.451	124.451	3	EUR	
31/10/2022 17:14	124.323	124.323	124.323	124.323	6	EUR	
31/10/2022 17:22	124.4	124.4	124.4	124.4	17	EUR	
31/10/2022 17:24	124.523	124.523	124.523	124.523	1	EUR	
31/10/2022 17:35	124.307	124.307	124.307	124.307	153	EUR	
01/11/2022 09:05	124.756	124.946	124.756	124.946	22	EUR	
01/11/2022 09:13	124.99	125	124.99	125	116	EUR	
01/11/2022 09:17	125.153	125.153	125.153	125.153	3	EUR	
01/11/2022 09:44	125.45	125.45	125.45	125.45	1	EUR	
01/11/2022 09:55	125.411	125.411	125.411	125.411	2	EUR	
01/11/2022 09:56	125.464	125.464	125.464	125.464	1	EUR	
01/11/2022 09:59	125.271	125.271	125.271	125.271	3	EUR	
01/11/2022 10:02	125.271	125.271	125.271	125.271	1	EUR	
01/11/2022 10:16	125	125	125	125	1	EUR	
01/11/2022 10:24	124.803	124.803	124.803	124.803	1	EUR	
01/11/2022 10:28	124.686	124.686	124.686	124.686	20	EUR	
01/11/2022 10:30	124.906	124.906	124.906	124.906	1	EUR	
01/11/2022 10:41	124.952	124.952	124.952	124.952	44	EUR	
01/11/2022 10:47	124.982	124.982	124.982	124.982	2	EUR	
01/11/2022 10:48	125.008	125.008	125.008	125.008	4	EUR	
01/11/2022 11:10	125.092	125.092	125.092	125.092	19	EUR	
01/11/2022 11:19	125.201	125.201	125.201	125.201	1	EUR	
01/11/2022 11:22	125.2	125.2	125.2	125.2	2	EUR	
01/11/2022 11:30	125	125	125	125	4	EUR	
01/11/2022 11:34	125.218	125.218	125.218	125.218	1	EUR	
01/11/2022 12:46	124.526	124.526	124.526	124.526	1	EUR	
01/11/2022 12:49	124.53	124.53	124.53	124.53	1	EUR	
01/11/2022 12:58	124.536	124.536	124.536	124.536	4	EUR	
01/11/2022 13:35	124.624	124.624	124.624	124.624	4	EUR	
01/11/2022 13:49	124.739	124.739	124.739	124.739	1	EUR	
01/11/2022 13:55	124.648	124.648	124.648	124.648	1	EUR	
01/11/2022 14:03	124.6	124.6	124.6	124.6	40	EUR	
01/11/2022 14:43	124.65	124.65	124.65	124.65	5	EUR	
01/11/2022 14:50	124.668	124.668	124.668	124.668	1	EUR	
